nox,rm,dis,tax,ptratio,b,medv
0.538,6.575,4.09,296,15.3,396.9,24.0
0.469,6.421,4.9671,242,17.8,396.9,21.6
0.469,7.185,4.9671,242,17.8,392.83,34.7
0.458,6.998,6.0622,222,18.7,394.63,33.4
0.458,7.147,6.0622,222,18.7,396.9,36.2
0.458,6.43,6.0622,222,18.7,394.12,28.7
0.524,6.012,5.5605,311,15.2,395.6,22.9
0.524,6.172,5.9505,311,15.2,396.9,27.1
0.524,5.631,6.0821,311,15.2,386.63,16.5
0.524,6.004,6.5921,311,15.2,386.71,18.9
0.524,6.377,6.3467,311,15.2,392.52,15.0
0.524,6.009,6.2267,311,15.2,396.9,18.9
0.524,5.889,5.4509,311,15.2,390.5,21.7
0.538,5.949,4.7075,307,21.0,396.9,20.4
0.538,6.096,4.4619,307,21.0,380.02,18.2
0.538,5.834,4.4986,307,21.0,395.62,19.9
0.538,5.935,4.4986,307,21.0,386.85,23.1
0.538,5.99,4.2579,307,21.0,386.75,17.5
0.538,5.456,3.7965,307,21.0,288.99,20.2
0.538,5.727,3.7965,307,21.0,390.95,18.2
0.538,5.57,3.7979,307,21.0,376.57,13.6
0.538,5.965,4.0123,307,21.0,392.53,19.6
0.538,6.142,3.9769,307,21.0,396.9,15.2
0.538,5.813,4.0952,307,21.0,394.54,14.5
0.538,5.924,4.3996,307,21.0,394.33,15.6
0.538,5.599,4.4546,307,21.0,303.42,13.9
0.538,5.813,4.682,307,21.0,376.88,16.6
0.538,6.047,4.4534,307,21.0,306.38,14.8
0.538,6.495,4.4547,307,21.0,387.94,18.4
0.538,6.674,4.239,307,21.0,380.23,21.0
0.538,5.713,4.233,307,21.0,360.17,12.7
0.538,6.072,4.175,307,21.0,376.73,14.5
0.538,5.95,3.99,307,21.0,232.6,13.2
0.538,5.701,3.7872,307,21.0,358.77,13.1
0.538,6.096,3.7598,307,21.0,248.31,13.5
0.499,5.933,3.3603,279,19.2,396.9,18.9
0.499,5.841,3.3779,279,19.2,377.56,20.0
0.499,5.85,3.9342,279,19.2,396.9,21.0
0.499,5.966,3.8473,279,19.2,393.43,24.7
